Capacitor(pF),ConversionTime,Power,CODE,CODE difference,linearity Error(%),No. of stages,number of precharge cells
1,2.02E-06,2.54E-06,12,0.272460938,2.270507813,17,100
2,2.04E-06,4.33E-06,24,0.544921875,2.270507813,17,100
4,2.08E-06,7.83E-06,47,0.08984375,0.191156915,17,100
8,2.15E-06,1.43E-05,94,0.1796875,0.191156915,17,100
16,2.30E-06,2.59E-05,188,0.359375,0.191156915,17,100
32,2.61E-06,4.53E-05,376,0.71875,0.191156915,17,100
64,3.21E-06,7.32E-05,751,0.4375,0.058255659,17,100
128,4.42E-06,1.06E-04,1502,0.875,0.058255659,17,100
256,6.84E-06,1.37E-04,3000,-2.25,-0.075,17,100
512,1.17E-05,1.60E-04,6004,-0.5,-0.008327781,17,100
1024,2.13E-05,1.75E-04,12009,0,0,17,100
1,2.02E-06,2.45E-06,11,0.200195313,1.819957386,19,100
2,2.04E-06,4.12E-06,22,0.400390625,1.819957386,19,100
4,2.07E-06,7.44E-06,42,-1.19921875,-2.855282738,19,100
8,2.14E-06,1.36E-05,86,-0.3984375,-0.463299419,19,100
16,2.28E-06,2.48E-05,173,0.203125,0.117413295,19,100
32,2.57E-06,4.36E-05,345,-0.59375,-0.172101449,19,100
64,3.13E-06,7.11E-05,690,-1.1875,-0.172101449,19,100
128,4.26E-06,1.04E-04,1381,-1.375,-0.099565532,19,100
256,6.51E-06,1.36E-04,2764,-0.75,-0.027134588,19,100
512,1.10E-05,1.61E-04,5534,4.5,0.081315504,19,100
1024,2.00E-05,1.77E-04,11059,0,0,19,100
1,2.02E-06,2.34E-06,9,-1.0078125,-11.19791667,21,100
2,2.04E-06,4.02E-06,20,-0.015625,-0.078125,21,100
4,2.07E-06,7.09E-06,40,-0.03125,-0.078125,21,100
8,2.14E-06,1.30E-05,80,-0.0625,-0.078125,21,100
16,2.27E-06,2.39E-05,159,-1.125,-0.70754717,21,100
32,2.53E-06,4.22E-05,320,-0.25,-0.078125,21,100
64,3.06E-06,6.94E-05,641,0.5,0.07800312,21,100
128,4.12E-06,1.03E-04,1284,3,0.23364486,21,100
256,6.23E-06,1.35E-04,2566,4,0.155884645,21,100
512,1.05E-05,1.61E-04,5124,0,0,21,100
1024,1.89E-05,1.78E-04,10248,0,0,21,100
1,2.02E-06,2.34E-06,10,0.684570313,6.845703125,23,100
2,2.03E-06,3.79E-06,19,0.369140625,1.942845395,23,100
4,2.07E-06,6.90E-06,38,0.73828125,1.942845395,23,100
8,2.13E-06,1.25E-05,75,0.4765625,0.635416667,23,100
16,2.25E-06,2.31E-05,148,-1.046875,-0.707347973,23,100
32,2.50E-06,4.09E-05,299,0.90625,0.303093645,23,100
64,3.00E-06,6.78E-05,596,-0.1875,-0.031459732,23,100
128,4.00E-06,1.01E-04,1193,0.625,0.052388935,23,100
256,5.99E-06,1.35E-04,2385,0.25,0.01048218,23,100
512,9.99E-06,1.62E-04,4771,1.5,0.03143995,23,100
1024,1.80E-05,1.80E-04,9539,0,0,23,100
1,2.02E-06,2.23E-06,9,0.279296875,3.103298611,25,100
2,2.03E-06,3.68E-06,18,0.55859375,3.103298611,25,100
4,2.06E-06,6.68E-06,35,0.1171875,0.334821429,25,100
8,2.12E-06,1.22E-05,70,0.234375,0.334821429,25,100
16,2.24E-06,2.24E-05,139,-0.53125,-0.382194245,25,100
32,2.48E-06,3.99E-05,279,-0.0625,-0.022401434,25,100
64,2.95E-06,6.65E-05,559,0.875,0.156529517,25,100
128,3.89E-06,1.00E-04,1114,-2.25,-0.201974865,25,100
256,5.79E-06,1.34E-04,2233,0.5,0.022391402,25,100
512,9.58E-06,1.63E-04,4464,-1,-0.022401434,25,100
1024,1.72E-05,1.81E-04,8930,0,0,25,100
1,2.02E-06,2.21E-06,8,-0.186523438,-2.331542969,27,100
2,2.03E-06,3.58E-06,16,-0.373046875,-2.331542969,27,100
4,2.06E-06,6.47E-06,32,-0.74609375,-2.331542969,27,100
8,2.11E-06,1.18E-05,65,-0.4921875,-0.757211538,27,100
16,2.23E-06,2.17E-05,132,1.015625,0.769412879,27,100
32,2.45E-06,3.88E-05,262,0.03125,0.011927481,27,100
64,2.91E-06,6.52E-05,525,1.0625,0.202380952,27,100
128,3.81E-06,9.91E-05,1047,-0.875,-0.083572111,27,100
